===========================================================================



	R-Code for ERS-7



	Copyright (C) 2004 Sony Corporation

	All Rights Reserved.



===========================================================================


---------------------------------------------------------------------------
MWCID   Action Name                         Start pose 
---------------------------------------------------------------------------
2515    L_REFLEX.M_FEAR.S_SOUND             any
2516    L_REFLEX.M_FEAR.S_SOUND             any
2517    L_EDSP.M_JOY.S_SOUND                any
2518    L_EDSP.M_JOY.S_SOUND                any
2519    L_EDSP.M_JOY.S_SOUND                any
2520    L_EDSP.M_JOY.S_SOUND                any
2521    L_EDSP.M_JOY.S_SOUND                any
2522    L_EDSP.M_SAD.S_SOUND                any
2523    L_EDSP.M_SAD.S_SOUND                any
2524    L_EDSP.M_SAD.S_SOUND                any
2525    L_EDSP.M_SAD.S_SOUND                any
2526    L_EDSP.M_SAD.S_SOUND                any
2527    L_EDSP.M_ANGRY.S_SOUND              any
2528    L_EDSP.M_ANGRY.S_SOUND              any
2529    L_EDSP.M_ANGRY.S_SOUND              any
2530    L_EDSP.M_ANGRY.S_SOUND              any
2531    L_EDSP.M_ANGRY.S_SOUND              any
2532    L_EDSP.M_SURP.S_SOUND               any
2533    L_EDSP.M_SURP.S_SOUND               any
2534    L_EDSP.M_SURP.S_SOUND               any
2535    L_EDSP.M_SURP.S_SOUND               any
2536    L_EDSP.M_SURP.S_SOUND               any
2537    L_EDSP.M_DISG.S_SOUND               any
2538    L_EDSP.M_DISG.S_SOUND               any
2539    L_EDSP.M_DISG.S_SOUND               any
2540    L_EDSP.M_DISG.S_SOUND               any
2541    L_EDSP.M_DISG.S_SOUND               any
2542    L_EDSP.M_FEAR.S_SOUND               any
2543    L_EDSP.M_FEAR.S_SOUND               any
2544    L_EDSP.M_FEAR.S_SOUND               any
2545    L_EDSP.M_FEAR.S_SOUND               any
2546    L_EDSP.M_FEAR.S_SOUND               any
2551    E_USRIF.M_TOUCHINFO.S_NOTICE4       any
2552    E_USRIF.M_TOUCHINFO.S_CLEAR         any
2553    E_NEWSTG.M_FANFARE.S_NORMAL4        any
2554    E_NEWSTG.M_FANFARE.S_NORMAL5        any
2555    E_NEWSTG.M_FANFARE.S_NORMAL6        any
2560    E_REGIST.M_OWNER.S_SOUND1           any
2561    L_SMESS.M_SWARN.S_BATTERYLOW        any
2562    L_REFLEX.M_JOY.S_SOUND              any
2563    L_REFLEX.M_JOY.S_SOUND              any
2564    L_REFLEX.M_JOY.S_SOUND              any
2565    L_REFLEX.M_JOY.S_SOUNDLED           any
2566    L_REFLEX.M_JOY.S_SOUNDLED           any
2567    L_REFLEX.M_JOY.S_SOUNDLED           any
2568    L_REFLEX.M_SAD.S_SOUND              any
2569    L_REFLEX.M_SAD.S_SOUND              any
2570    L_REFLEX.M_SAD.S_SOUND              any
2571    L_REFLEX.M_SAD.S_SOUNDLED           any
2572    L_REFLEX.M_SAD.S_SOUNDLED           any
2573    L_REFLEX.M_SAD.S_SOUNDLED           any
2574    L_REFLEX.M_ANGRY.S_SOUND            any
2575    L_REFLEX.M_ANGRY.S_SOUND            any
2576    L_REFLEX.M_ANGRY.S_SOUND            any
2577    L_REFLEX.M_ANGRY.S_SOUNDLED         any
2578    L_REFLEX.M_ANGRY.S_SOUNDLED         any
2579    L_REFLEX.M_ANGRY.S_SOUNDLED         any
2580    L_REFLEX.M_SURP.S_SOUND             any
2581    L_REFLEX.M_SURP.S_SOUND             any
2582    L_REFLEX.M_SURP.S_SOUND             any
2583    L_REFLEX.M_SURP.S_SOUNDLED          any
2584    L_REFLEX.M_SURP.S_SOUNDLED          any
2585    L_REFLEX.M_SURP.S_SOUNDLED          any
2586    L_REFLEX.M_DISG.S_SOUND             any
2587    L_REFLEX.M_DISG.S_SOUND             any
2588    L_REFLEX.M_DISG.S_SOUND             any
2589    L_REFLEX.M_DISG.S_SOUNDLED          any
2590    L_REFLEX.M_DISG.S_SOUNDLED          any
2591    L_REFLEX.M_DISG.S_SOUNDLED          any
